Europawahl 2019;;;;Stand:;5/27/19 16:16;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;EUROPA;;erste Eingabe;;letzte Eingabe;
;;rechtigte;;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40714;Pinsdorf;3016;1558;51,66;33;2,12;1525;97,88;477;31,28;430;28,2;340;22,3;152;9,97;104;6,82;8;0,52;14;0,92;26.05.2019;14:07:07;26.05.2019;14:07:07
40715;Roitham;1597;871;54,54;25;2,87;846;97,13;326;38,53;217;25,65;174;20,57;72;8,51;41;4,85;6;0,71;10;1,18;26.05.2019;16:16:52;26.05.2019;16:16:52
40716;St.Konrad;903;451;49,94;9;2;442;98;210;47,51;112;25,34;64;14,48;34;7,69;19;4,3;3;0,68;0;0;26.05.2019;12:51:13;26.05.2019;12:51:13
40717;St.Wolfgang im Salzkammergut;2122;1046;49,29;15;1,43;1031;98,57;488;47,33;277;26,87;141;13,68;75;7,27;36;3,49;6;0,58;8;0,78;26.05.2019;14:35:27;26.05.2019;14:35:27
40718;Traunkirchen;1354;725;53,55;8;1,1;717;98,9;279;38,91;181;25,24;79;11,02;110;15,34;65;9,07;1;0,14;2;0,28;26.05.2019;16:47:44;26.05.2019;16:47:44
40719;Scharnstein;3805;2014;52,93;43;2,14;1971;97,86;603;30,59;550;27,9;396;20,09;242;12,28;153;7,76;11;0,56;16;0,81;26.05.2019;15:48:45;26.05.2019;15:48:45
40720;Vorchdorf;5744;3165;55,1;63;1,99;3102;98,01;1063;34,27;742;23,92;676;21,79;404;13,02;190;6,13;10;0,32;17;0,55;26.05.2019;17:26:07;26.05.2019;17:26:07
40799;Wahlkarten Gmunden;0;8532;0;99;1,16;8433;98,84;2510;29,76;2674;31,71;978;11,6;1393;16,52;716;8,49;74;0,88;88;1,04;27.05.2019;15:11:05;27.05.2019;15:13:23
40800;Grieskirchen;50632;31760;62,73;620;1,95;31140;98,05;12981;41,69;5835;18,74;6355;20,41;3843;12,34;1815;5,83;133;0,43;178;0,57;26.05.2019;15:56:44;27.05.2019;14:37:09
40801;Aistersheim;706;400;56,66;9;2,25;391;97,75;161;41,18;64;16,37;112;28,64;27;6,91;26;6,65;0;0;1;0,26;26.05.2019;12:55:38;26.05.2019;12:55:38
40802;Bad Schallerbach;3081;1548;50,24;24;1,55;1524;98,45;549;36,02;354;23,23;321;21,06;184;12,07;99;6,5;7;0,46;10;0,66;26.05.2019;15:56:44;26.05.2019;15:56:44
40804;Eschenau im Hausruckkreis;901;532;59,05;11;2,07;521;97,93;277;53,17;62;11,9;119;22,84;43;8,25;19;3,65;1;0,19;0;0;26.05.2019;14:05:02;26.05.2019;14:05:02
40805;Gallspach;1872;917;48,99;19;2,07;898;97,93;309;34,41;174;19,38;266;29,62;95;10,58;47;5,23;6;0,67;1;0,11;26.05.2019;15:04:22;26.05.2019;15:04:22
40806;Gaspoltshofen;2845;1478;51,95;47;3,18;1431;96,82;526;36,76;252;17,61;380;26,55;164;11,46;91;6,36;9;0,63;9;0,63;26.05.2019;13:30:09;26.05.2019;13:30:09
40807;Geboltskirchen;1154;643;55,72;15;2,33;628;97,67;250;39,81;136;21,66;120;19,11;99;15,76;21;3,34;0;0;2;0,32;26.05.2019;14:54:10;26.05.2019;14:54:10
40808;Grieskirchen;3530;1817;51,47;38;2,09;1779;97,91;604;33,95;414;23,27;368;20,69;267;15,01;101;5,68;8;0,45;17;0,96;26.05.2019;14:54:22;26.05.2019;14:54:22
40809;Haag am Hausruck;1650;886;53,7;20;2,26;866;97,74;334;38,57;174;20,09;173;19,98;124;14,32;54;6,24;2;0,23;5;0,58;26.05.2019;14:35:17;26.05.2019;14:35:17
40810;Heiligenberg;569;382;67,14;6;1,57;376;98,43;227;60,37;20;5,32;78;20,74;29;7,71;19;5,05;1;0,27;2;0,53;26.05.2019;14:00:30;26.05.2019;14:00:30
40811;Hofkirchen an der Trattnach;1234;697;56,48;11;1,58;686;98,42;296;43,15;107;15,6;166;24,2;64;9,33;40;5,83;7;1,02;6;0,87;26.05.2019;14:54:39;26.05.2019;14:54:39
40812;Kallham;2054;1007;49,03;27;2,68;980;97,32;423;43,16;189;19,29;200;20,41;98;10;56;5,71;7;0,71;7;0,71;26.05.2019;13:59:03;26.05.2019;13:59:03
40813;Kematen am Innbach;1070;579;54,11;3;0,52;576;99,48;211;36,63;103;17,88;177;30,73;42;7,29;36;6,25;3;0,52;4;0,69;26.05.2019;14:05:20;26.05.2019;14:05:20
40814;Meggenhofen;1192;646;54,19;15;2,32;631;97,68;323;51,19;85;13,47;97;15,37;88;13,95;36;5,71;1;0,16;1;0,16;26.05.2019;13:21:20;26.05.2019;13:21:20
40815;Michaelnbach;1038;519;50;9;1,73;510;98,27;296;58,04;50;9,8;89;17,45;33;6,47;38;7,45;1;0,2;3;0,59;26.05.2019;13:29:13;26.05.2019;13:35:22
40816;Natternbach;1909;1089;57,05;20;1,84;1069;98,16;473;44,25;204;19,08;245;22,92;99;9,26;44;4,12;2;0,19;2;0,19;26.05.2019;14:14:29;26.05.2019;14:14:29
40817;Neukirchen am Walde;1336;794;59,43;21;2,64;773;97,36;397;51,36;109;14,1;164;21,22;72;9,31;28;3,62;1;0,13;2;0,26;26.05.2019;13:35:10;26.05.2019;13:35:10
40818;Neumarkt im Hausruckkreis;1103;509;46,15;5;0,98;504;99,02;185;36,71;134;26,59;117;23,21;42;8,33;16;3,17;2;0,4;8;1,59;26.05.2019;15:12:42;26.05.2019;15:12:42
40820;Pötting;460;281;61,09;6;2,14;275;97,86;188;68,36;27;9,82;35;12,73;14;5,09;6;2,18;0;0;5;1,82;26.05.2019;13:44:02;26.05.2019;13:44:02
40821;Pollham;791;447;56,51;11;2,46;436;97,54;201;46,1;59;13,53;68;15,6;82;18,81;25;5,73;0;0;1;0,23;26.05.2019;13:13:10;26.05.2019;13:13:10
40822;Pram;1353;725;53,58;10;1,38;715;98,62;267;37,34;122;17,06;192;26,85;86;12,03;43;6,01;4;0,56;1;0,14;26.05.2019;12:48:47;26.05.2019;12:48:47
40823;Rottenbach;852;517;60,68;13;2,51;504;97,49;176;34,92;74;14,68;162;32,14;51;10,12;32;6,35;4;0,79;5;0,99;26.05.2019;14:33:25;26.05.2019;14:35:12
40824;St.Agatha;1747;930;53,23;13;1,4;917;98,6;517;56,38;130;14,18;158;17,23;51;5,56;49;5,34;3;0,33;9;0,98;26.05.2019;14:01:08;26.05.2019;14:01:08
40825;St.Georgen bei Grieskirchen;1089;578;53,08;16;2,77;562;97,23;241;42,88;102;18,15;104;18,51;76;13,52;34;6,05;3;0,53;2;0,36;26.05.2019;13:56:16;26.05.2019;13:56:16
40826;St.Thomas;432;235;54,4;5;2,13;230;97,87;103;44,78;36;15,65;54;23,48;27;11,74;7;3,04;2;0,87;1;0,43;26.05.2019;12:46:29;26.05.2019;12:46:29
40827;Schlüßlberg;2369;1314;55,47;31;2,36;1283;97,64;376;29,31;426;33,2;253;19,72;140;10,91;76;5,92;6;0,47;6;0,47;26.05.2019;15:02:25;26.05.2019;15:02:25
40828;Steegen;909;433;47,63;8;1,85;425;98,15;228;53,65;47;11,06;78;18,35;54;12,71;17;4;1;0,24;0;0;26.05.2019;15:35:24;26.05.2019;15:35:24
40829;Taufkirchen an der Trattnach;1613;754;46,75;12;1,59;742;98,41;321;43,26;109;14,69;195;26,28;80;10,78;32;4,31;2;0,27;3;0,4;26.05.2019;13:45:00;26.05.2019;13:45:00
40830;Tollet;749;422;56,34;2;0,47;420;99,53;188;44,76;73;17,38;65;15,48;54;12,86;37;8,81;2;0,48;1;0,24;26.05.2019;12:55:55;26.05.2019;12:56:29
40831;Waizenkirchen;2916;1572;53,91;30;1,91;1542;98,09;769;49,87;201;13,04;278;18,03;200;12,97;76;4,93;8;0,52;10;0,65;26.05.2019;14:00:50;26.05.2019;14:00:50
40832;Wallern an der Trattnach;2410;1346;55,85;34;2,53;1312;97,47;481;36,66;304;23,17;252;19,21;159;12,12;97;7,39;8;0,61;11;0,84;26.05.2019;14:28:17;26.05.2019;14:28:17
40833;Weibern;1306;697;53,37;12;1,72;685;98,28;326;47,59;103;15,04;97;14,16;101;14,74;50;7,3;2;0,29;6;0,88;26.05.2019;13:14:29;26.05.2019;13:14:29
40834;Wendling;684;378;55,26;5;1,32;373;98,68;187;50,13;35;9,38;101;27,08;32;8,58;17;4,56;1;0,27;0;0;26.05.2019;13:03:13;26.05.2019;13:07:46
40835;Peuerbach;3708;1891;51;33;1,75;1858;98,25;893;48,06;258;13,89;373;20,08;223;12;92;4,95;10;0,54;9;0,48;26.05.2019;15:26:20;26.05.2019;15:26:20
40899;Wahlkarten Grieskirchen;0;4797;0;79;1,65;4718;98,35;1678;35,57;1098;23,27;698;14,79;843;17,87;354;7,5;19;0,4;28;0,59;27.05.2019;13:50:40;27.05.2019;14:37:09
40900;Kirchdorf an der Krems;43577;26709;61,29;470;1,76;26239;98,24;9760;37,2;6055;23,08;4978;18,97;3241;12,35;1865;7,11;135;0,51;205;0,78;26.05.2019;17:26:01;27.05.2019;11:48:38
40901;Edlbach;508;267;52,56;2;0,75;265;99,25;146;55,09;45;16,98;42;15,85;15;5,66;15;5,66;2;0,75;0;0;26.05.2019;14:23:52;26.05.2019;14:23:52
40902;Grünburg;2933;1329;45,31;25;1,88;1304;98,12;471;36,12;301;23,08;323;24,77;121;9,28;67;5,14;4;0,31;17;1,3;26.05.2019;14:25:22;26.05.2019;14:25:22
40903;Hinterstoder;726;384;52,89;7;1,82;377;98,18;174;46,15;44;11,67;89;23,61;40;10,61;25;6,63;2;0,53;3;0,8;26.05.2019;14:40:24;26.05.2019;14:40:24
40904;Inzersdorf im Kremstal;1519;796;52,4;17;2,14;779;97,86;319;40,95;146;18,74;152;19,51;102;13,09;51;6,55;2;0,26;7;0,9;26.05.2019;14:54:44;26.05.2019;14:54:44
40905;Kirchdorf an der Krems;3271;1615;49,37;19;1,18;1596;98,82;460;28,82;469;29,39;263;16,48;264;16,54;120;7,52;8;0,5;12;0,75;26.05.2019;17:26:01;26.05.2019;17:26:01
40906;Klaus an der Pyhrnbahn;824;475;57,65;9;1,89;466;98,11;122;26,18;209;44,85;81;17,38;31;6,65;20;4,29;2;0,43;1;0,21;26.05.2019;14:24:35;26.05.2019;14:24:35
40907;Kremsmünster;4687;2557;54,56;48;1,88;2509;98,12;1004;40,02;466;18,57;445;17,74;326;12,99;235;9,37;12;0,48;21;0,84;26.05.2019;16:24:20;26.05.2019;16:24:20
40908;Micheldorf in Oberösterreich;4535;2477;54,62;46;1,86;2431;98,14;714;29,37;739;30,4;421;17,32;336;13,82;197;8,1;9;0,37;15;0,62;26.05.2019;16:25:49;26.05.2019;16:25:49
40909;Molln;2790;1504;53,91;24;1,6;1480;98,4;484;32,7;416;28,11;313;21,15;166;11,22;83;5,61;9;0,61;9;0,61;26.05.2019;16:35:24;26.05.2019;16:35:24
40910;Nußbach;1829;1002;54,78;16;1,6;986;98,4;509;51,62;173;17,55;122;12,37;96;9,74;77;7,81;4;0,41;5;0,51;26.05.2019;15:20:32;26.05.2019;15:20:32
40911;Oberschlierbach;373;233;62,47;2;0,86;231;99,14;120;51,95;29;12,55;26;11,26;40;17,32;15;6,49;0;0;1;0,43;26.05.2019;13:39:53;26.05.2019;13:39:53
40912;Pettenbach;4051;2130;52,58;55;2,58;2075;97,42;757;36,48;373;17,98;519;25,01;270;13,01;124;5,98;12;0,58;20;0,96;26.05.2019;16:25:07;26.05.2019;16:25:07
40913;Ried im Traunkreis;2144;1157;53,96;28;2,42;1129;97,58;529;46,86;140;12,4;271;24;102;9,03;78;6,91;3;0,27;6;0,53;26.05.2019;14:58:41;26.05.2019;14:58:41
40914;Rosenau am Hengstpaß;497;234;47,08;1;0,43;233;99,57;75;32,19;74;31,76;57;24,46;8;3,43;14;6,01;4;1,72;1;0,43;26.05.2019;13:34:01;26.05.2019;13:34:01
40915;Roßleithen;1481;765;51,65;7;0,92;758;99,08;315;41,56;186;24,54;140;18,47;67;8,84;37;4,88;4;0,53;9;1,19;26.05.2019;15:45:41;26.05.2019;15:45:41
40916;St.Pankraz;276;136;49,28;1;0,74;135;99,26;42;31,11;33;24,44;50;37,04;3;2,22;6;4,44;0;0;1;0,74;26.05.2019;12:35:41;26.05.2019;12:35:41
40917;Schlierbach;2198;1138;51,77;21;1,85;1117;98,15;389;34,83;206;18,44;220;19,7;179;16,03;107;9,58;8;0,72;8;0,72;26.05.2019;14:25:59;26.05.2019;14:25:59
40918;Spital am Pyhrn;1776;836;47,07;18;2,15;818;97,85;304;37,16;220;26,89;201;24,57;49;5,99;34;4,16;7;0,86;3;0,37;26.05.2019;16:13:12;26.05.2019;16:13:12
40919;Steinbach am Ziehberg;684;386;56,43;6;1,55;380;98,45;171;45;63;16,58;83;21,84;34;8,95;23;6,05;2;0,53;4;1,05;26.05.2019;12:55:49;26.05.2019;12:55:49
40920;Steinbach an der Steyr;1614;982;60,84;25;2,55;957;97,45;472;49,32;195;20,38;148;15,46;87;9,09;45;4,7;5;0,52;5;0,52;26.05.2019;14:26:33;26.05.2019;14:26:33
40921;Vorderstoder;664;299;45,03;7;2,34;292;97,66;150;51,37;35;11,99;70;23,97;19;6,51;15;5,14;2;0,68;1;0,34;26.05.2019;13:25:30;26.05.2019;13:25:30
40922;Wartberg an der Krems;2305;1247;54,1;24;1,92;1223;98,08;557;45,54;200;16,35;222;18,15;144;11,77;80;6,54;5;0,41;15;1,23;26.05.2019;14:53:58;26.05.2019;14:53:58
40923;Windischgarsten;1892;909;48,04;15;1,65;894;98,35;348;38,93;233;26,06;156;17,45;84;9,4;65;7,27;3;0,34;5;0,56;26.05.2019;15:26:14;26.05.2019;15:26:14
40999;Wahlkarten Kirchdorf a.d.Krems;0;3851;0;47;1,22;3804;98,78;1128;29,65;1060;27,87;564;14,83;658;17,3;332;8,73;26;0,68;36;0,95;27.05.2019;11:48:38;27.05.2019;11:48:38
41000;Linz-Land;108227;68166;62,98;1037;1,52;67129;98,48;19861;29,59;20066;29,89;11890;17,71;8853;13,19;5452;8,12;396;0,59;611;0,91;26.05.2019;17:46:22;27.05.2019;15:29:09
41001;Allhaming;927;532;57,39;10;1,88;522;98,12;243;46,55;93;17,82;96;18,39;42;8,05;36;6,9;2;0,38;10;1,92;26.05.2019;14:53:54;26.05.2019;14:53:54
41002;Ansfelden;10821;5216;48,2;92;1,76;5124;98,24;1200;23,42;1716;33,49;1345;26,25;477;9,31;315;6,15;28;0,55;43;0,84;26.05.2019;15:48:07;26.05.2019;15:48:07
41003;Asten;4741;2389;50,39;41;1,72;2348;98,28;548;23,34;885;37,69;549;23,38;188;8,01;149;6,35;11;0,47;18;0,77;26.05.2019;15:24:48;26.05.2019;15:24:48
41004;Eggendorf im Traunkreis;738;415;56,23;3;0,72;412;99,28;169;41,02;82;19,9;71;17,23;40;9,71;47;11,41;1;0,24;2;0,49;26.05.2019;14:17:25;26.05.2019;14:17:25
41005;Enns;8042;4162;51,75;63;1,51;4099;98,49;1156;28,2;1251;30,52;734;17,91;576;14,05;317;7,73;27;0,66;38;0,93;26.05.2019;15:14:06;26.05.2019;17:11:08
41006;Hargelsberg;1083;662;61,13;8;1,21;654;98,79;270;41,28;169;25,84;94;14,37;70;10,7;41;6,27;4;0,61;6;0,92;26.05.2019;14:39:51;26.05.2019;14:39:51
41007;Hörsching;4568;2265;49,58;50;2,21;2215;97,79;674;30,43;613;27,67;508;22,93;224;10,11;166;7,49;12;0,54;18;0,81;26.05.2019;14:20:20;26.05.2019;14:20:20
41008;Hofkirchen im Traunkreis;1425;804;56,42;16;1,99;788;98,01;258;32,74;194;24,62;144;18,27;114;14,47;66;8,38;4;0,51;8;1,02;26.05.2019;14:23:24;26.05.2019;14:23:24
41009;Kematen an der Krems;2100;1091;51,95;18;1,65;1073;98,35;406;37,84;230;21,44;219;20,41;116;10,81;87;8,11;9;0,84;6;0,56;26.05.2019;15:29:24;26.05.2019;15:29:24
41010;Kirchberg-Thening;1956;1181;60,38;17;1,44;1164;98,56;307;26,37;368;31,62;198;17,01;188;16,15;90;7,73;6;0,52;7;0,6;26.05.2019;16:08:44;26.05.2019;16:08:44
41011;Kronstorf;2683;1518;56,58;34;2,24;1484;97,76;452;30,46;448;30,19;284;19,14;158;10,65;121;8,15;6;0,4;15;1,01;26.05.2019;15:58:22;26.05.2019;15:58:22
41012;Leonding;21173;12234;57,78;184;1,5;12050;98,5;3346;27,77;3578;29,69;2002;16,61;1798;14,92;1124;9,33;76;0,63;126;1,05;26.05.2019;17:46:22;26.05.2019;17:46:22
41013;St.Florian;5050;2916;57,74;52;1,78;2864;98,22;1077;37,6;664;23,18;449;15,68;389;13,58;252;8,8;10;0,35;23;0,8;26.05.2019;16:13:11;26.05.2019;17:08:53
41014;Neuhofen an der Krems;4955;2420;48,84;34;1,4;2386;98,6;734;30,76;633;26,53;356;14,92;408;17,1;213;8,93;13;0,54;29;1,22;26.05.2019;16:16:41;26.05.2019;16:16:41
41015;Niederneukirchen;1692;981;57,98;13;1,33;968;98,67;422;43,6;209;21,59;155;16,01;114;11,78;59;6,1;2;0,21;7;0,72;26.05.2019;15:32:53;26.05.2019;15:32:53
41016;Oftering;1669;945;56,62;11;1,16;934;98,84;316;33,83;244;26,12;181;19,38;109;11,67;71;7,6;7;0,75;6;0,64;26.05.2019;16:20:53;26.05.2019;16:20:53
41017;Pasching;5500;3093;56,24;62;2;3031;98;857;28,27;960;31,67;527;17,39;357;11,78;289;9,53;13;0,43;28;0,92;26.05.2019;15:18:43;26.05.2019;15:18:43
41018;Piberbach;1472;770;52,31;11;1,43;759;98,57;266;35,05;193;25,43;141;18,58;86;11,33;55;7,25;7;0,92;11;1,45;26.05.2019;13:49:30;26.05.2019;13:49:30
41019;Pucking;3158;1702;53,89;37;2,17;1665;97,83;534;32,07;378;22,7;425;25,53;161;9,67;149;8,95;6;0,36;12;0,72;26.05.2019;15:29:22;26.05.2019;15:29:22
41020;St.Marien;3777;2201;58,27;32;1,45;2169;98,55;798;36,79;557;25,68;344;15,86;272;12,54;171;7,88;9;0,41;18;0,83;26.05.2019;15:11:21;26.05.2019;15:11:21
41021;Traun;16027;7466;46,58;110;1,47;7356;98,53;1828;24,85;2644;35,94;1510;20,53;822;11,17;440;5,98;62;0,84;50;0,68;26.05.2019;15:12:27;26.05.2019;15:12:27
41022;Wilhering;4670;2795;59,85;37;1,32;2758;98,68;1007;36,51;673;24,4;283;10,26;469;17,01;293;10,62;5;0,18;28;1,02;26.05.2019;14:49:02;26.05.2019;14:49:02
41099;Wahlkarten Linz-Land;0;10408;0;102;0,98;10306;99,02;2993;29,04;3284;31,86;1275;12,37;1675;16,25;901;8,74;76;0,74;102;0,99;27.05.2019;15:29:09;27.05.2019;15:29:09
41100;Perg;52834;34687;65,65;740;2,13;33947;97,87;12875;37,93;9150;26,95;5695;16,78;3844;11,32;1992;5,87;157;0,46;234;0,69;26.05.2019;17:01:52;27.05.2019;13:53:17
41101;Allerheiligen im Mühlkreis;1020;609;59,71;12;1,97;597;98,03;250;41,88;145;24,29;116;19,43;49;8,21;32;5,36;3;0,5;2;0,34;26.05.2019;15:32:27;26.05.2019;15:32:27
41102;Arbing;1151;661;57,43;15;2,27;646;97,73;250;38,7;154;23,84;108;16,72;95;14,71;36;5,57;0;0;3;0,46;26.05.2019;13:25:26;26.05.2019;13:25:26
41103;Baumgartenberg;1358;767;56,48;14;1,83;753;98,17;323;42,9;132;17,53;201;26,69;66;8,76;26;3,45;3;0,4;2;0,27;26.05.2019;15:23:51;26.05.2019;15:23:51
41104;Dimbach;814;456;56,02;16;3,51;440;96,49;222;50,45;83;18,86;88;20;29;6,59;15;3,41;3;0,68;0;0;26.05.2019;13:09:07;26.05.2019;13:09:07
41105;Grein;2328;1173;50,39;23;1,96;1150;98,04;435;37,83;299;26;221;19,22;114;9,91;64;5,57;7;0,61;10;0,87;26.05.2019;14:32:21;26.05.2019;14:32:21
41106;Katsdorf;2522;1475;58,49;28;1,9;1447;98,1;483;33,38;418;28,89;197;13,61;205;14,17;126;8,71;3;0,21;15;1,04;26.05.2019;16:40:41;26.05.2019;16:40:41
41107;Klam;763;427;55,96;15;3,51;412;96,49;165;40,05;64;15,53;117;28,4;31;7,52;25;6,07;4;0,97;6;1,46;26.05.2019;13:35:29;26.05.2019;13:35:29
41108;Bad Kreuzen;1785;903;50,59;22;2,44;881;97,56;548;62,2;72;8,17;139;15,78;72;8,17;39;4,43;4;0,45;7;0,79;26.05.2019;15:09:07;26.05.2019;15:09:07
41109;Langenstein;1961;1146;58,44;18;1,57;1128;98,43;290;25,71;446;39,54;205;18,17;102;9,04;76;6,74;6;0,53;3;0,27;26.05.2019;17:01:52;26.05.2019;17:01:52
41110;Luftenberg an der Donau;3314;1919;57,91;42;2,19;1877;97,81;527;28,08;602;32,07;359;19,13;210;11,19;145;7,73;16;0,85;18;0,96;26.05.2019;16:07:34;26.05.2019;16:07:34
41111;Mauthausen;3602;1876;52,08;33;1,76;1843;98,24;497;26,97;707;38,36;275;14,92;210;11,39;126;6,84;11;0,6;17;0,92;26.05.2019;14:45:44;26.05.2019;14:45:44
41112;Mitterkirchen im Machland;1339;746;55,71;13;1,74;733;98,26;363;49,52;153;20,87;125;17,05;59;8,05;28;3,82;1;0,14;4;0,55;26.05.2019;13:37:38;26.05.2019;13:37:38
41113;Münzbach;1309;802;61,27;25;3,12;777;96,88;437;56,24;83;10,68;160;20,59;52;6,69;39;5,02;2;0,26;4;0,51;26.05.2019;13:26:37;26.05.2019;13:26:37
41114;Naarn im Machlande;2806;1707;60,83;43;2,52;1664;97,48;750;45,07;383;23,02;321;19,29;111;6,67;86;5,17;5;0,3;8;0,48;26.05.2019;15:08:36;26.05.2019;15:08:36
41115;Pabneukirchen;1329;719;54,1;24;3,34;695;96,66;365;52,52;95;13,67;147;21,15;48;6,91;36;5,18;2;0,29;2;0,29;26.05.2019;13:32:40;26.05.2019;13:32:40
41116;Perg;6313;3464;54,87;58;1,67;3406;98,33;1227;36,02;875;25,69;612;17,97;422;12,39;228;6,69;16;0,47;26;0,76;26.05.2019;16:34:40;26.05.2019;16:34:40
41117;Rechberg;758;492;64,91;11;2,24;481;97,76;294;61,12;66;13,72;46;9,56;55;11,43;18;3,74;0;0;2;0,42;26.05.2019;13:03:11;26.05.2019;13:03:11
41118;Ried in der Riedmark;3395;1936;57,03;37;1,91;1899;98,09;677;35,65;581;30,6;254;13,38;224;11,8;134;7,06;14;0,74;15;0,79;26.05.2019;15:08:56;26.05.2019;15:08:56
41119;St.Georgen am Walde;1621;875;53,98;31;3,54;844;96,46;364;43,13;232;27,49;169;20,02;46;5,45;27;3,2;4;0,47;2;0,24;26.05.2019;14:16:25;26.05.2019;14:16:25
41120;St.Georgen an der Gusen;3274;1967;60,08;51;2,59;1916;97,41;497;25,94;716;37,37;270;14,09;297;15,5;109;5,69;11;0,57;16;0,84;26.05.2019;16:44:05;26.05.2019;16:44:05
41121;St.Nikola an der Donau;555;336;60,54;9;2,68;327;97,32;170;51,99;65;19,88;51;15,6;30;9,17;9;2,75;0;0;2;0,61;26.05.2019;13:42:52;26.05.2019;13:42:52
41122;St.Thomas am Blasenstein;736;433;58,83;7;1,62;426;98,38;277;65,02;47;11,03;60;14,08;26;6,1;14;3,29;1;0,23;1;0,23;26.05.2019;13:30:28;26.05.2019;13:30:28
41123;Saxen;1373;791;57,61;22;2,78;769;97,22;285;37,06;176;22,89;187;24,32;74;9,62;41;5,33;5;0,65;1;0,13;26.05.2019;15:50:02;26.05.2019;15:50:02
41124;Schwertberg;3964;2266;57,16;43;1,9;2223;98,1;687;30,9;757;34,05;338;15,2;299;13,45;119;5,35;10;0,45;13;0,58;26.05.2019;16:35:18;26.05.2019;16:35:18
41125;Waldhausen im Strudengau;2303;1310;56,88;47;3,59;1263;96,41;537;42,52;340;26,92;194;15,36;133;10,53;45;3,56;3;0,24;11;0,87;26.05.2019;14:23:49;26.05.2019;14:23:49
41126;Windhaag bei Perg;1141;665;58,28;19;2,86;646;97,14;339;52,48;97;15,02;108;16,72;56;8,67;46;7,12;0;0;0;0;26.05.2019;15:30:24;26.05.2019;15:30:24
41199;Wahlkarten Perg;0;4766;0;62;1,3;4704;98,7;1616;34,35;1362;28,95;627;13,33;729;15,5;303;6,44;23;0,49;44;0,94;27.05.2019;13:53:17;27.05.2019;13:53:17
41200;Ried im Innkreis;46695;27521;58,94;478;1,74;27043;98,26;11327;41,89;4439;16,41;6168;22,81;3139;11,61;1630;6,03;147;0,54;193;0,71;26.05.2019;16:27:44;27.05.2019;13:40:05
41201;Andrichsfurt;605;298;49,26;8;2,68;290;97,32;161;55,52;20;6,9;62;21,38;25;8,62;18;6,21;2;0,69;2;0,69;26.05.2019;12:00:51;26.05.2019;12:00:51
41202;Antiesenhofen;814;371;45,58;1;0,27;370;99,73;163;44,05;71;19,19;94;25,41;22;5,95;13;3,51;0;0;7;1,89;26.05.2019;12:46:33;26.05.2019;12:46:33
41203;Aurolzmünster;2271;996;43,86;16;1,61;980;98,39;358;36,53;195;19,9;286;29,18;78;7,96;53;5,41;2;0,2;8;0,82;26.05.2019;13:24:57;26.05.2019;13:24:57
41204;Eberschwang;2712;1299;47,9;24;1,85;1275;98,15;450;35,29;267;20,94;313;24,55;123;9,65;95;7,45;10;0,78;17;1,33;26.05.2019;15:05:45;26.05.2019;15:05:45
41205;Eitzing;656;332;50,61;10;3,01;322;96,99;143;44,41;51;15,84;75;23,29;37;11,49;15;4,66;0;0;1;0,31;26.05.2019;13:08:57;26.05.2019;13:08:57
41206;Geiersberg;423;213;50,35;8;3,76;205;96,24;90;43,9;33;16,1;45;21,95;20;9,76;12;5,85;3;1,46;2;0,98;26.05.2019;12:28:09;26.05.2019;14:50:45
41207;Geinberg;1054;386;36,62;13;3,37;373;96,63;159;42,63;40;10,72;99;26,54;46;12,33;25;6,7;0;0;4;1,07;26.05.2019;12:58:24;26.05.2019;12:58:24
41208;Gurten;932;480;51,5;4;0,83;476;99,17;202;42,44;97;20,38;112;23,53;40;8,4;21;4,41;3;0,63;1;0,21;26.05.2019;12:39:55;26.05.2019;12:39:55
41209;Hohenzell;1787;944;52,83;17;1,8;927;98,2;457;49,3;92;9,92;175;18,88;122;13,16;66;7,12;3;0,32;12;1,29;26.05.2019;13:36:24;26.05.2019;13:36:24
41210;Kirchdorf am Inn;505;292;57,82;8;2,74;284;97,26;165;58,1;22;7,75;66;23,24;17;5,99;11;3,87;1;0,35;2;0,7;26.05.2019;13:04:06;26.05.2019;13:04:06
41211;Kirchheim im Innkreis;591;335;56,68;7;2,09;328;97,91;180;54,88;35;10,67;82;25;20;6,1;8;2,44;1;0,3;2;0,61;26.05.2019;12:57:19;26.05.2019;12:57:19
41212;Lambrechten;1076;566;52,6;13;2,3;553;97,7;284;51,36;49;8,86;151;27,31;41;7,41;28;5,06;0;0;0;0;26.05.2019;13:55:39;26.05.2019;13:55:39
41213;Lohnsburg am Kobernaußerwald;1835;894;48,72;22;2,46;872;97,54;443;50,8;98;11,24;206;23,62;72;8,26;48;5,5;2;0,23;3;0,34;26.05.2019;13:14:52;26.05.2019;13:14:52
41214;Mehrnbach;1859;882;47,44;19;2,15;863;97,85;376;43,57;120;13,9;231;26,77;88;10,2;43;4,98;1;0,12;4;0,46;26.05.2019;13:11:44;26.05.2019;13:11:44
